epoch,lr,train_total,train_l1,train_norm,train_grad,val_total,val_l1,val_norm,val_grad,epoch_time_s
1,4.000000e-04,0.048885,0.015394,0.000128,0.005152,0.018905,0.005873,0.000008,0.002554,49.5
2,6.000000e-04,0.024479,0.007720,0.000057,0.002523,0.021050,0.006702,0.000046,0.001798,53.6
3,8.000000e-04,0.023005,0.007300,0.000059,0.002091,0.016332,0.005177,0.000024,0.001555,59.0
4,1.000000e-03,0.021161,0.006734,0.000059,0.001800,0.018717,0.005965,0.000106,0.001431,59.4
5,1.000000e-03,0.020992,0.006701,0.000068,0.001645,0.023531,0.007554,0.000103,0.001532,61.2
6,9.957652e-04,0.017459,0.005570,0.000042,0.001416,0.013968,0.004480,0.000006,0.001044,62.0
7,9.831333e-04,0.016137,0.005146,0.000041,0.001317,0.012801,0.004095,0.000005,0.001020,62.4
8,9.623204e-04,0.014132,0.004500,0.000029,0.001206,0.011239,0.003593,0.000006,0.000904,56.9
9,9.336826e-04,0.013413,0.004268,0.000028,0.001161,0.015458,0.004983,0.000008,0.000998,62.7
10,8.977099e-04,0.012580,0.004002,0.000021,0.001106,0.012644,0.004069,0.000007,0.000860,659.8
11,8.550179e-04,0.011681,0.003712,0.000018,0.001053,0.011212,0.003602,0.000006,0.000799,55.8
12,8.063369e-04,0.010630,0.003371,0.000015,0.001006,0.007648,0.002431,0.000002,0.000709,55.8
13,7.525000e-04,0.009928,0.003143,0.000014,0.000971,0.009827,0.003147,0.000003,0.000767,58.0
14,6.944283e-04,0.009296,0.002939,0.000011,0.000938,0.006527,0.002061,0.000004,0.000678,58.5
15,6.331154e-04,0.008518,0.002686,0.000009,0.000899,0.007869,0.002508,0.000005,0.000678,54.4
16,5.696105e-04,0.007866,0.002475,0.000007,0.000870,0.008265,0.002639,0.000005,0.000688,53.3
17,5.050000e-04,0.007384,0.002318,0.000006,0.000848,0.007945,0.002533,0.000009,0.000677,64.2
18,4.403895e-04,0.006625,0.002071,0.000004,0.000815,0.008905,0.002849,0.000003,0.000711,167.7
19,3.768846e-04,0.006273,0.001956,0.000003,0.000799,0.006663,0.002110,0.000007,0.000653,64.0
20,3.155717e-04,0.005549,0.001721,0.000002,0.000770,0.006963,0.002210,0.000002,0.000665,54.2
21,2.575000e-04,0.005137,0.001586,0.000002,0.000753,0.004480,0.001399,0.000001,0.000567,51.1
22,2.036631e-04,0.004653,0.001428,0.000001,0.000736,0.004485,0.001401,0.000002,0.000558,55.2
23,1.549821e-04,0.004273,0.001304,0.000001,0.000722,0.004264,0.001329,0.000000,0.000550,56.6
24,1.122901e-04,0.003893,0.001179,0.000000,0.000710,0.003685,0.001139,0.000000,0.000532,58.6
25,7.631743e-05,0.003622,0.001090,0.000000,0.000701,0.003576,0.001104,0.000000,0.000530,56.0
26,4.767963e-05,0.003400,0.001018,0.000000,0.000694,0.003420,0.001052,0.000000,0.000526,55.4
27,2.686672e-05,0.003260,0.000972,0.000000,0.000689,0.003281,0.001007,0.000000,0.000520,52.8
28,1.423479e-05,0.003180,0.000946,0.000000,0.000687,0.003242,0.000994,0.000000,0.000519,54.7
29,1.000000e-05,0.003127,0.000928,0.000000,0.000684,0.003202,0.000981,0.000000,0.000517,59.2
30,1.000000e-05,0.003109,0.000923,0.000000,0.000683,0.003193,0.000978,0.000000,0.000517,61.7
